id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,bio
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,"LoRoom is a solo bedroom producer from Portland whose hazy, tape-warped beats have become a staple of late-night study playlists worldwide. He crafts every track using a single vintage sampler and a worn-out cassette deck."
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,"Voltline is a four-piece hard rock band out of Detroit forged in the city's gritty industrial underground scene. Their relentless live performances and wall-of-sound production have earned them a fiercely loyal following."
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,"Paper Lanterns is the ambient lofi project of Tokyo-born producer Mei Tanaka, who draws inspiration from rainy evenings and quiet bookshops. Her delicate compositions layer field recordings with soft piano to create an intimate sonic world."
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,"Max Pulse is a high-energy pop producer and DJ from Miami whose tracks are engineered to push listeners to their limits. He has produced anthems for major fitness brands and international sporting events."
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,"Orbit Bloom is a ambient composer and sound designer based in Reykjavik who creates vast, meditative soundscapes inspired by astronomy and deep space. Her music has been featured in planetarium shows and science documentaries across Europe."
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,"Slow Stereo is a jazz trio from New Orleans whose warm, unhurried grooves feel like a Sunday morning that never ends. Formed by three college friends in 2015, they have since become regulars at intimate jazz clubs across the South."
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,"LoRoom is a solo bedroom producer from Portland whose hazy, tape-warped beats have become a staple of late-night study playlists worldwide. He crafts every track using a single vintage sampler and a worn-out cassette deck."
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,"Indigo Parade is a Brooklyn indie pop band celebrated for their jangly guitars, lush harmonies, and lyrics about city life and fleeting romance. They self-released their first album from a converted warehouse studio in 2017."
11,Golden Hour,Sunfield,pop,happy,0.78,116,0.88,0.80,0.20,"Sunfield is a Nashville singer-songwriter duo whose sun-soaked pop anthems capture the feeling of long summer drives and open skies. Their breezy melodies and uplifting lyrics have made them a favorite at outdoor festivals."
12,Rainy Afternoon,Paper Lanterns,lofi,chill,0.33,70,0.55,0.55,0.90,"Paper Lanterns is the ambient lofi project of Tokyo-born producer Mei Tanaka, who draws inspiration from rainy evenings and quiet bookshops. Her delicate compositions layer field recordings with soft piano to create an intimate sonic world."
13,Electric Youth,Voltline,rock,intense,0.89,148,0.52,0.70,0.08,"Voltline is a four-piece hard rock band out of Detroit forged in the city's gritty industrial underground scene. Their relentless live performances and wall-of-sound production have earned them a fiercely loyal following."
14,Blue Horizon,Orbit Bloom,ambient,chill,0.25,58,0.68,0.38,0.95,"Orbit Bloom is a ambient composer and sound designer based in Reykjavik who creates vast, meditative soundscapes inspired by astronomy and deep space. Her music has been featured in planetarium shows and science documentaries across Europe."
15,Neon Jungle,Neon Echo,synthwave,moody,0.80,115,0.44,0.76,0.15,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
16,Velvet Underground,Slow Stereo,jazz,relaxed,0.40,88,0.74,0.50,0.85,"Slow Stereo is a jazz trio from New Orleans whose warm, unhurried grooves feel like a Sunday morning that never ends. Formed by three college friends in 2015, they have since become regulars at intimate jazz clubs across the South."
17,Chasing Daylight,Indigo Parade,indie pop,happy,0.72,120,0.83,0.78,0.30,"Indigo Parade is a Brooklyn indie pop band celebrated for their jangly guitars, lush harmonies, and lyrics about city life and fleeting romance. They self-released their first album from a converted warehouse studio in 2017."
18,Deep Focus,LoRoom,lofi,focused,0.38,76,0.57,0.58,0.80,"LoRoom is a solo bedroom producer from Portland whose hazy, tape-warped beats have become a staple of late-night study playlists worldwide. He crafts every track using a single vintage sampler and a worn-out cassette deck."
19,Power Grid,Max Pulse,pop,intense,0.95,136,0.72,0.90,0.04,"Max Pulse is a high-energy pop producer and DJ from Miami whose tracks are engineered to push listeners to their limits. He has produced anthems for major fitness brands and international sporting events."
20,Cosmic Drift,Orbit Bloom,ambient,chill,0.22,55,0.70,0.35,0.97,"Orbit Bloom is a ambient composer and sound designer based in Reykjavik who creates vast, meditative soundscapes inspired by astronomy and deep space. Her music has been featured in planetarium shows and science documentaries across Europe."
21,Street Lights,Neon Echo,synthwave,moody,0.77,112,0.47,0.74,0.18,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
22,Autumn Walk,Paper Lanterns,lofi,chill,0.30,68,0.62,0.52,0.93,"Paper Lanterns is the ambient lofi project of Tokyo-born producer Mei Tanaka, who draws inspiration from rainy evenings and quiet bookshops. Her delicate compositions layer field recordings with soft piano to create an intimate sonic world."
23,Thunder Road,Voltline,rock,intense,0.93,155,0.45,0.68,0.07,"Voltline is a four-piece hard rock band out of Detroit forged in the city's gritty industrial underground scene. Their relentless live performances and wall-of-sound production have earned them a fiercely loyal following."
24,Daydream Sequence,Indigo Parade,indie pop,relaxed,0.55,105,0.79,0.70,0.45,"Indigo Parade is a Brooklyn indie pop band celebrated for their jangly guitars, lush harmonies, and lyrics about city life and fleeting romance. They self-released their first album from a converted warehouse studio in 2017."
25,Midnight Jazz Club,Slow Stereo,jazz,moody,0.45,92,0.60,0.56,0.82,"Slow Stereo is a jazz trio from New Orleans whose warm, unhurried grooves feel like a Sunday morning that never ends. Formed by three college friends in 2015, they have since become regulars at intimate jazz clubs across the South."
26,Pixel Dreams,LoRoom,lofi,focused,0.36,74,0.54,0.56,0.83,"LoRoom is a solo bedroom producer from Portland whose hazy, tape-warped beats have become a staple of late-night study playlists worldwide. He crafts every track using a single vintage sampler and a worn-out cassette deck."
27,Sunrise Run,Max Pulse,pop,intense,0.91,130,0.80,0.87,0.06,"Max Pulse is a high-energy pop producer and DJ from Miami whose tracks are engineered to push listeners to their limits. He has produced anthems for major fitness brands and international sporting events."
28,Interstellar,Orbit Bloom,ambient,chill,0.20,52,0.72,0.32,0.98,"Orbit Bloom is a ambient composer and sound designer based in Reykjavik who creates vast, meditative soundscapes inspired by astronomy and deep space. Her music has been featured in planetarium shows and science documentaries across Europe."
29,Retrowave,Neon Echo,synthwave,happy,0.82,118,0.76,0.80,0.12,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
30,Lazy Sunday,Slow Stereo,jazz,relaxed,0.32,85,0.78,0.48,0.91,"Slow Stereo is a jazz trio from New Orleans whose warm, unhurried grooves feel like a Sunday morning that never ends. Formed by three college friends in 2015, they have since become regulars at intimate jazz clubs across the South."
31,Wildfire,Voltline,rock,intense,0.88,145,0.50,0.65,0.09,"Voltline is a four-piece hard rock band out of Detroit forged in the city's gritty industrial underground scene. Their relentless live performances and wall-of-sound production have earned them a fiercely loyal following."
32,Bloom Season,Indigo Parade,indie pop,happy,0.70,122,0.85,0.76,0.32,"Indigo Parade is a Brooklyn indie pop band celebrated for their jangly guitars, lush harmonies, and lyrics about city life and fleeting romance. They self-released their first album from a converted warehouse studio in 2017."
33,Study Hall,LoRoom,lofi,focused,0.42,82,0.58,0.61,0.77,"LoRoom is a solo bedroom producer from Portland whose hazy, tape-warped beats have become a staple of late-night study playlists worldwide. He crafts every track using a single vintage sampler and a worn-out cassette deck."
34,Dance Floor,Max Pulse,pop,happy,0.90,128,0.85,0.92,0.03,"Max Pulse is a high-energy pop producer and DJ from Miami whose tracks are engineered to push listeners to their limits. He has produced anthems for major fitness brands and international sporting events."
35,Void Walker,Orbit Bloom,ambient,moody,0.18,50,0.40,0.28,0.99,"Orbit Bloom is a ambient composer and sound designer based in Reykjavik who creates vast, meditative soundscapes inspired by astronomy and deep space. Her music has been featured in planetarium shows and science documentaries across Europe."
36,Chrome City,Neon Echo,synthwave,intense,0.85,122,0.55,0.82,0.10,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
37,Cobblestone,Paper Lanterns,lofi,relaxed,0.28,66,0.65,0.50,0.94,"Paper Lanterns is the ambient lofi project of Tokyo-born producer Mei Tanaka, who draws inspiration from rainy evenings and quiet bookshops. Her delicate compositions layer field recordings with soft piano to create an intimate sonic world."
38,Headrush,Voltline,rock,intense,0.96,160,0.42,0.72,0.05,"Voltline is a four-piece hard rock band out of Detroit forged in the city's gritty industrial underground scene. Their relentless live performances and wall-of-sound production have earned them a fiercely loyal following."
39,Petal and Steel,Indigo Parade,indie pop,relaxed,0.50,100,0.82,0.66,0.50,"Indigo Parade is a Brooklyn indie pop band celebrated for their jangly guitars, lush harmonies, and lyrics about city life and fleeting romance. They self-released their first album from a converted warehouse studio in 2017."
40,Midnight Blueprint,LoRoom,lofi,focused,0.44,84,0.53,0.63,0.75,"LoRoom is a solo bedroom producer from Portland whose hazy, tape-warped beats have become a staple of late-night study playlists worldwide. He crafts every track using a single vintage sampler and a worn-out cassette deck."
41,Heartbeat Drop,Max Pulse,pop,intense,0.92,134,0.74,0.89,0.04,"Max Pulse is a high-energy pop producer and DJ from Miami whose tracks are engineered to push listeners to their limits. He has produced anthems for major fitness brands and international sporting events."
42,Nebula,Orbit Bloom,ambient,chill,0.24,56,0.67,0.36,0.96,"Orbit Bloom is a ambient composer and sound designer based in Reykjavik who creates vast, meditative soundscapes inspired by astronomy and deep space. Her music has been featured in planetarium shows and science documentaries across Europe."
43,Glitch City,Neon Echo,synthwave,moody,0.79,114,0.46,0.77,0.16,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
44,Evening Serenade,Slow Stereo,jazz,relaxed,0.35,87,0.76,0.52,0.88,"Slow Stereo is a jazz trio from New Orleans whose warm, unhurried grooves feel like a Sunday morning that never ends. Formed by three college friends in 2015, they have since become regulars at intimate jazz clubs across the South."
45,Overgrown,Indigo Parade,indie pop,moody,0.60,108,0.62,0.68,0.42,"Indigo Parade is a Brooklyn indie pop band celebrated for their jangly guitars, lush harmonies, and lyrics about city life and fleeting romance. They self-released their first album from a converted warehouse studio in 2017."
46,Cloud Nine,Paper Lanterns,lofi,chill,0.31,69,0.64,0.54,0.92,"Paper Lanterns is the ambient lofi project of Tokyo-born producer Mei Tanaka, who draws inspiration from rainy evenings and quiet bookshops. Her delicate compositions layer field recordings with soft piano to create an intimate sonic world."
47,Iron Fist,Voltline,rock,intense,0.94,158,0.40,0.71,0.06,"Voltline is a four-piece hard rock band out of Detroit forged in the city's gritty industrial underground scene. Their relentless live performances and wall-of-sound production have earned them a fiercely loyal following."
48,Afternoon Groove,Slow Stereo,jazz,happy,0.55,95,0.80,0.62,0.78,"Slow Stereo is a jazz trio from New Orleans whose warm, unhurried grooves feel like a Sunday morning that never ends. Formed by three college friends in 2015, they have since become regulars at intimate jazz clubs across the South."
49,Wired In,LoRoom,lofi,focused,0.39,78,0.56,0.59,0.81,"LoRoom is a solo bedroom producer from Portland whose hazy, tape-warped beats have become a staple of late-night study playlists worldwide. He crafts every track using a single vintage sampler and a worn-out cassette deck."
50,Bounce Back,Max Pulse,pop,happy,0.87,126,0.87,0.91,0.05,"Max Pulse is a high-energy pop producer and DJ from Miami whose tracks are engineered to push listeners to their limits. He has produced anthems for major fitness brands and international sporting events."
51,Signal Lost,Neon Echo,synthwave,moody,0.73,108,0.43,0.71,0.20,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
52,Mountain Echo,Voltline,rock,moody,0.70,138,0.55,0.60,0.25,"Voltline is a four-piece hard rock band out of Detroit forged in the city's gritty industrial underground scene. Their relentless live performances and wall-of-sound production have earned them a fiercely loyal following."
53,Café Noir,Slow Stereo,jazz,moody,0.42,89,0.58,0.50,0.86,"Slow Stereo is a jazz trio from New Orleans whose warm, unhurried grooves feel like a Sunday morning that never ends. Formed by three college friends in 2015, they have since become regulars at intimate jazz clubs across the South."
54,Firefly,Indigo Parade,indie pop,happy,0.68,118,0.87,0.74,0.38,"Indigo Parade is a Brooklyn indie pop band celebrated for their jangly guitars, lush harmonies, and lyrics about city life and fleeting romance. They self-released their first album from a converted warehouse studio in 2017."
55,Pastel Sky,Paper Lanterns,lofi,relaxed,0.27,65,0.68,0.48,0.95,"Paper Lanterns is the ambient lofi project of Tokyo-born producer Mei Tanaka, who draws inspiration from rainy evenings and quiet bookshops. Her delicate compositions layer field recordings with soft piano to create an intimate sonic world."
56,Uplink,Neon Echo,synthwave,intense,0.88,125,0.60,0.84,0.08,"Neon Echo is a Los Angeles-based electronic duo known for blending retro synthwave textures with modern pop energy. They rose to prominence in 2019 after their debut EP went viral on underground music blogs."
57,Gravel Road,Voltline,rock,relaxed,0.58,120,0.65,0.58,0.40,"Voltline is a four-piece hard rock band out of Detroit forged in the city's gritty industrial underground scene. Their relentless live performances and wall-of-sound production have earned them a fiercely loyal following."
58,Smooth Operator,Slow Stereo,jazz,relaxed,0.38,91,0.73,0.55,0.87,"Slow Stereo is a jazz trio from New Orleans whose warm, unhurried grooves feel like a Sunday morning that never ends. Formed by three college friends in 2015, they have since become regulars at intimate jazz clubs across the South."
59,Spark,Max Pulse,pop,happy,0.85,124,0.90,0.88,0.06,"Max Pulse is a high-energy pop producer and DJ from Miami whose tracks are engineered to push listeners to their limits. He has produced anthems for major fitness brands and international sporting events."
60,Deep Space,Orbit Bloom,ambient,moody,0.15,48,0.38,0.25,0.99,"Orbit Bloom is a ambient composer and sound designer based in Reykjavik who creates vast, meditative soundscapes inspired by astronomy and deep space. Her music has been featured in planetarium shows and science documentaries across Europe."
